,FR_LH_Maha,FR_RH_Maha,RR_LH_Maha,RR_RH_Maha,Cabin_Maha
1999,2.4598763918184634,6.898123641567985,2.6449789677720883,4.177029967933368,1.910837426420838
2249,1.6589351651898214,6.735705134175532,3.1431970281500567,4.120124946004788,3.2565059366242104
2499,2.3874517153528876,6.740092504499961,4.194363050757992,4.062398815489547,4.4477353240966355
2749,2.833268712499601,7.074425543626245,4.338581061867115,4.598594056667419,7.366878180398239
2999,7.205657624047993,4.278218857503273,5.798966412791911,7.6947783467762045,10.009597377392717
3249,3.183144934927326,3.1458191320654216,3.903922012654068,4.1734703410413525,9.74638886421064
3499,4.844021413951828,4.207760704187547,6.277748935732485,9.399472515836063,11.290884558247607
3749,3.3990701150272766,3.167855701600694,3.8590837464421095,7.530889993530728,10.599433311487845
3999,2.436123183733821,2.6452241185008223,2.194148198950916,4.748726272825846,8.3187942349559
4249,2.5250356384353814,3.0865615514359215,2.1447530184145474,5.463575358153039,4.7667122128318615
4499,2.8307473009616695,2.6706836596773487,3.260053787931078,3.9887549020593087,4.6209634970452536
4749,1.9479522471424158,0.9380006738197563,4.560787062476538,3.357115994641512,3.551210105249615
4999,2.0176102552626607,1.3972281013450996,4.924207736062877,3.6659094163081063,3.441173161737878
5249,1.0160584701409123,1.0820391604802417,3.2858072228924384,2.0078347010001467,6.233440024356471
5499,1.3255263218151416,1.2648175157578558,4.080146768359694,2.165483827993026,5.170383465299588
5749,0.8749368895320115,1.1820647396354915,2.225273514906638,2.1560358550901033,6.632167817095036
5999,0.7101062460246231,0.8690220545225691,1.817849870880824,2.041155248618542,9.639043746067259
6249,0.5914323077338081,1.2921514770196947,2.2513996304498716,1.7826687374721275,6.959345811848362
6499,0.652322872781801,1.1056686300346665,2.004142390353383,1.9080124899779378,3.9694333740303978
6749,0.9633900827406261,1.8561763196215606,1.8464826177122873,7.711714498479218,3.7494137359065403
6999,3.4985606456016693,2.4778714860794384,1.6455988705076507,7.8467124098250896,3.197147052332054
7249,0.39816131334674687,1.322207756220833,1.4436145188928882,3.737826591005841,3.355247543290407
