,March_Maha
1999,29.750255804846432
2249,23.164469523136347
2499,12.913231826406236
2749,11.946189659392845
2999,10.90243937117267
3249,13.372990149386714
3499,11.663995740676171
3749,9.154443113075468
3999,11.441243212130434
4249,11.22705987325852
4499,9.761383936806164
4749,8.210314434359944
4999,9.041990783245495
5249,13.610752826727811
5499,11.549412234098845
5749,11.895013521262928
5999,11.976150285959442
6249,11.65789359902772
6499,12.52998402186666
6749,12.330350380868632
6999,11.911857598423602
7249,7.9290535310835315
7499,4.6912407473822295
7749,6.532968007835102
7999,9.401931565804867
8249,11.092352402896179
8499,13.078561870281737
8749,11.137199115892008
8999,11.016387710130696
9249,9.178706091384988
9499,13.682552016365607
9749,12.346556145914175
9999,16.142075233121083
10249,16.75414032571456
10499,14.934884021187663
10749,16.694316760576598
10999,13.719759607588925
11249,16.994137970655874
11499,20.30979658058443
11749,22.98496931813122
11999,16.19316533415382
12249,26.203547333395708
12499,30.650746842910735
12749,37.415804468866526
12999,40.304839332314266
13249,27.46790568171999
13499,22.66711226339119
13749,18.03692192881337
13999,10.765901932955195
14249,11.873249378264994
14499,12.74005612441215
14749,13.299353676381925
14999,15.10445561278013
15249,16.361734612196283
15499,20.400830980828747
15749,8.19379105755253
15999,7.925127719527957
16249,8.239515576990957
16499,7.357046827074358
16749,8.221538335750575
16999,10.128869849138354
17249,7.622012711948579
17499,5.74222917269696
17749,17.83537388146659
17999,18.17930049230684
18249,16.147666107599424
18499,16.89841844011299
18749,23.439194548039183
18999,22.95861701238144
19249,19.474202882479148
19499,21.102055145847324
19749,6.686971580359334
19999,7.708742885670553
20249,11.47544994863631
20499,12.476502348200174
20749,9.366989841809243
20999,12.701114913913791
21249,11.086001641644517
21499,8.203506420721112
21749,8.724206965405273
21999,12.27300052390737
22249,14.376249727734695
22499,15.72036184561208
22749,18.784531723050193
22999,17.529649531903573
23249,14.344572678697737
23499,9.564441970092163
23749,9.47662192647152
23999,10.106677419698144
24249,8.251114903741247
