,FR_LH_Maha,FR_RH_Maha,RR_LH_Maha,RR_RH_Maha,Cabin_Maha
1999,28.370788165937007,46.136515222012655,23.36400941811348,20.598810456602692,21.043333510948237
2249,12.592996979487602,17.26717144560553,19.826165559319787,16.97470592424615,19.947410728647146
2499,10.938882002161447,14.695528798589308,17.39589445436664,18.010793796068295,17.773265169772042
2749,7.326585112435554,12.821543867196583,16.704129841665406,15.021407607228104,21.00424588283233
2999,8.100546861230669,15.361616695062924,17.77482436783323,17.77224620955548,22.183977315496737
3249,13.824220609995384,14.121711571327797,17.634820014029685,19.277107576221916,22.94523320465764
3499,4.460922569815635,21.11072353108505,25.54640722879477,16.85644635113843,19.121932189657485
3749,4.9604357661743865,22.803284994366145,30.043686372484615,35.07564876425875,18.10567466852116
3999,5.411767603274365,21.614569885954197,32.37150316832975,33.06196417096369,22.052072621723518
4249,5.571529372309656,20.605948115009397,22.53591603794787,33.69582988444178,22.890343447218847
4499,7.31616707037619,23.561816698328155,24.056693711939516,32.77192812211305,20.10128629474181
4749,12.525083834819814,24.77806188961365,24.05474831450441,24.56100615257379,23.514174698038627
4999,13.615584921458733,19.9949474466188,23.31329637778491,23.7770042747145,30.009603654293898
5249,11.817863476656317,17.333033357613655,18.6800997070588,20.79511154019167,33.952450007986315
5499,12.333288304876579,20.247463978355015,21.01945916315129,18.14358105222128,38.09416379657964
5749,9.379751758920897,21.462585555542418,21.885809861800205,16.18925367017621,34.51253200618752
5999,11.270711705732259,21.678715931783493,22.11970335900947,18.138616562603886,28.457919635069956
6249,12.752277289120068,23.130169706683404,22.229666045946317,16.766887475711066,32.116546841225436
6499,11.360219491531366,17.63893476660336,20.67956121042112,15.45958866329766,35.603851861971116
6749,9.220735045383796,18.20707122798811,21.956171737505343,18.53059154438839,31.66105045266425
6999,7.361252041284001,23.015040898779628,22.967951283949397,15.716112926179678,29.12697342592807
7249,11.10765350464423,22.099713719609255,11.013529351009154,22.827682739750834,27.836724060562997
7499,14.406431222796684,16.563026785359916,8.295539973640679,11.515683354977158,32.533764966555495
7749,12.154923388140352,20.315654001391415,9.606864335070968,7.981180670562285,23.18421676547217
7999,7.108302842892303,21.556335551609106,7.808297909007846,6.113579899719739,20.212800808510025
8249,5.8378876822633705,17.90153934938751,6.834514523212997,5.268388389607979,24.60885164953441
8499,5.177430384861504,24.413910179122542,8.877902161167988,6.922193830115529,22.289392741372406
8749,2.956235515080194,17.29176965699827,5.107781562979074,4.651867941890479,24.504825223356928
8999,2.708611178532515,15.549020690420267,5.633999404897747,5.365509735611095,25.62486833317964
9249,2.3867771412018906,19.997910207522466,7.875092309576999,3.900746538611669,21.37965298701642
9499,10.78258279928267,23.385259380404776,10.130240603506191,10.548049211830136,19.244598934914812
9749,8.474411061326004,21.524311372181522,13.950731831454968,10.600787620376371,21.41517787884961
9999,1.781900671379308,12.338794630941079,11.027418922967676,8.80264269842281,38.339609722615265
10249,1.9997374041644782,14.752407529799966,12.450470704595794,11.462333567731823,26.80213218703932
10499,3.5140413494030556,17.74538180884575,7.767040470460401,11.749683617529818,17.87245028107232
10749,3.534844048068095,18.551698192074575,6.698524513757507,9.420372066017404,22.60154339013519
10999,3.8238178474527587,18.200268497857504,8.11188480784899,11.127217780605624,24.55282935344087
11249,5.970494875445754,21.637980885882328,9.987321075101386,14.005526885125857,19.919766222068276
11499,8.286066773513335,25.08025350314007,9.773640653675754,14.373256133399968,27.854706202541703
11749,14.179485316695988,24.65599315674524,12.191208269266205,18.335640777414532,27.249957884486925
11999,16.20989494855793,24.856071328880592,11.225414334056524,16.79056163984544,23.008753062064503
12249,22.42839786076343,23.35211276793664,14.468654722373888,20.998630448218094,33.358698214719745
12499,21.09194376022898,21.299097490174663,16.466782123633543,20.09943994906542,31.075500454448676
12749,28.371985673400907,27.113395602178286,17.50558241709107,22.4770331125713,28.80310959244867
12999,30.755971238759052,32.12734946805921,18.668511675380913,23.03213303816044,24.6688310221855
13249,18.1660830024686,20.7539973761923,12.775505352977472,15.11521971024166,27.93252408123577
13499,14.276396738805284,21.060787839378165,10.060929776696858,11.557204023303225,21.50213395674342
13749,14.225579885897613,26.464467503352157,8.758242797996772,11.954622683304187,26.15452902551155
13999,10.052366446541612,32.697199040961095,6.366863150635815,9.843051679868159,40.77284743908903
14249,11.013121329501969,28.004734547240496,15.574132138824098,12.973559424782055,18.526558711487073
14499,19.983241420179425,18.417348036390983,20.554961396548364,14.658236362589344,25.484637556786126
14749,23.173787297752483,20.45569325447028,20.601284194901332,14.137699226873508,22.27352130793853
14999,38.06911281416342,27.946231034917517,19.47201800789772,24.679032517807112,30.494235691057078
15249,26.494045813067174,25.03647884555233,25.739279666862814,24.65660291797333,29.65166236665747
15499,32.33977648539876,26.19721975805067,25.74958519383712,20.7207281741036,38.912421876492274
15749,20.07276385829916,23.683186945602465,30.45889192211161,23.77364847320414,74.52252220763054
15999,15.486156986077606,24.12362694533597,27.37393364273838,27.77219579623189,36.46134371955951
16249,13.841895234321747,25.24446383216832,28.97291727213627,25.61727036326394,40.328596853899555
16499,12.894654542791553,32.10965045727103,26.555196714894542,23.31114983220936,25.63295080543591
16749,11.407385559965896,24.978016129470568,23.86264621368968,22.323865310332565,26.394995778720105
16999,14.08297740566781,16.432181025188637,17.379177572002504,12.015527329469897,28.776277683128427
17249,8.336647888250898,18.686908531764203,20.471813710616942,10.036850459765613,30.555498070273813
17499,3.512495424029691,19.443622189211617,8.437122385404713,12.887351677085814,14.826519463611621
17749,37.39245427690723,28.416820313593767,8.897035980892174,19.770426543359683,26.27459491815557
17999,33.38206706415794,26.040399063457542,7.774557268506644,17.530382826691906,19.88077773087644
18249,31.55078888637091,23.371090036989212,5.530308846708367,16.558267629651905,19.010537853750886
18499,30.556889347741233,18.042916400537262,6.206740239267582,17.6879085743748,22.43694526644758
18749,32.2217022973401,25.223191823358643,5.065093550404925,16.51016203612912,20.304144471908625
18999,36.40430560262729,31.233863107107418,5.141384150723889,17.341962634359934,20.51910147266683
19249,36.76661607858257,21.124148177899936,5.479083545499879,19.024452183922556,17.824591400445335
