,FR_LH_Maha,FR_RH_Maha,RR_LH_Maha,RR_RH_Maha,Cabin_Maha
1999,3.003188378319834,56.38612329148893,12.772503564576489,32.006772558897055,392.43073861884454
2249,2.973884586649084,56.770538568572,17.822802821073978,10.627060586514297,392.0826056964747
2499,2.839457925661426,54.46834213103067,5.829353583596974,11.53813703337084,407.21573195407007
2749,2.856815093436075,62.14408875014659,6.635614246189976,11.91059090628153,379.8184813082292
2999,3.1049192780114994,61.24323072995966,6.830027767449174,12.230784114360494,401.52651551538247
3249,3.3795366312311126,59.96972597801654,6.9747939455474075,12.525782888548168,418.20787443836025
3499,3.5412037902530744,61.74970918435801,7.421554223563671,12.187610821649804,413.9948661977687
3749,3.621970633571977,61.92240522470807,7.546806287491023,11.911811036165636,436.7937007056319
3999,3.706973156514681,61.16117659769997,7.528602581928339,12.121549047543326,436.61662547349056
4249,3.6207682432401023,59.925481507307616,6.564953979946252,11.558402140182569,442.48926925566633
4499,3.258123300741519,59.689412684876395,6.2889202566076285,11.009056174991466,438.91039841509195
4749,3.2911331949815317,57.764148602554286,6.434729802455048,11.985939248451942,442.1259838796511
4999,3.033727141177361,57.091051823053185,5.758172238954347,10.977855689921913,441.7427595341639
5249,3.1645797744283737,58.557236981395995,6.300913432468721,11.216050282441216,416.58488207071866
5499,3.521088025167734,56.49930232039692,6.267689479317159,11.233683803441208,425.35448853642765
5749,3.357042254911745,56.02264686550444,6.309366653753532,12.51095371129929,410.5077730805314
5999,149.50303598891708,56.97319629425766,5.170011314995151,18.8714573270811,405.2680585475937
6249,150.28736983072844,56.54265633038415,5.058805448036195,25.037355260715426,432.0466414957595
6499,151.53083068577087,58.630178724117904,5.353193789477788,25.361008857098703,421.8787881231028
6749,145.88415991056064,47.98950474091761,15.882940405054555,22.23324865045268,412.6462461260913
6999,144.50734858294058,46.1683301197035,13.739445258769004,16.76442093530767,390.06789297111055
7249,143.1234260010852,46.12440418625072,8.462045938033283,18.323196078772828,411.40759463047533
7499,140.7804201490767,45.50077276096899,10.764303733182313,19.453234344984637,414.6429781529056
7749,143.12666334558992,44.02602871852056,5.3371180218006335,12.914929808384297,365.3732214973482
7999,4.297316079589555,48.304798608086394,4.666007687262524,12.035978238896373,383.1816943283263
8249,5.00208062410246,47.529221414727395,3.6305425260405984,9.131220760575529,333.2036956282459
8499,5.6699673589646755,45.17955508351317,3.660017573837834,7.846515583860009,294.1209137961799
8749,5.692905748502913,47.81540011217023,5.477499282075682,8.649702164084333,225.86684881500747
8999,7.71816819456788,49.532675830599516,5.886148122932601,9.390722924422501,203.7084426988526
9249,7.738583247261719,47.286026013772386,6.26555137002807,7.433175858290371,190.4235308371137
9499,7.980278066377605,51.202976286363,5.930848247758508,6.841317325353588,167.12793177275384
9749,8.590305586301909,58.73937875052313,5.68528375462477,9.40319615701681,174.64030357930108
9999,15.387791393297112,45.98095916162808,6.602061225448649,6.597598976233305,191.56812546652262
10249,38.05305679669816,55.20622809587866,9.551520806497305,5.793032233855397,293.57744649392924
