,Feb_Maha
1999,7.614836213865977
2249,6.662731186533982
2499,6.341281563208386
2749,6.193711018863309
2999,3.9262542185009774
3249,3.690726785044016
3499,3.5527642512885977
3749,4.3999772371841415
3999,3.3731753838099494
4249,4.44027981616271
4499,4.4396735104072
4749,4.7494577023258735
4999,7.8674836424302415
5249,4.0795475039516305
5499,6.6855261125621706
5749,6.787603992641917
5999,8.365171966739428
6249,5.27373534181915
6499,7.464555639553172
6749,10.103135061485826
6999,4.474622520139129
7249,4.171654932906445
7499,4.923198068414779
7749,8.419520892443549
7999,8.687549827451102
8249,7.704530473732221
8499,7.493466212876024
8749,8.781373231922055
8999,8.669074680723533
9249,15.903374523050866
9499,12.6270684447423
9749,8.700856463370181
9999,11.544447297660223
10249,12.243813326294807
10499,10.96307652381671
10749,9.069652705618818
10999,9.832155324515135
11249,11.216713789663284
11499,13.940705995239416
11749,8.135670981971382
11999,7.663072211476766
12249,7.098330036296755
12499,10.072816504108397
12749,5.587303811875392
12999,3.9811944506480206
13249,4.706744726166186
13499,5.961864588761382
13749,6.718325788192295
13999,6.183913061881886
14249,7.130283282450456
14499,7.8904393655469915
14749,9.691775474937849
14999,9.751354542878437
15249,10.147034872648412
15499,11.807333242092277
15749,11.75807278380878
15999,11.27784595730974
16249,11.273083059824813
16499,6.194103446564758
16749,5.3608785397840615
16999,3.1760054880258193
17249,8.58222118225565
17499,7.956881240943364
17749,7.3617542499958075
17999,7.839347606519234
18249,9.827133226073299
18499,8.930847676239438
18749,11.455980334598552
18999,11.4518603077448
19249,4.242710639542923
19499,7.7975393451149975
19749,10.599035294258615
19999,11.89568058668456
20249,12.247911628531309
20499,12.796315356019166
20749,16.226341865058295
20999,14.12064197792102
21249,15.153202307005683
21499,10.268734841835942
21749,10.474553972812423
21999,11.587472395622155
22249,12.482145591404338
22499,8.59518990665409
22749,7.3407903232272504
22999,6.966581806851505
23249,6.367154474946226
23499,9.115776046433945
23749,9.849368381587384
23999,10.720041117870306
24249,11.559814209465932
24499,10.294610507872482
24749,9.459418338237489
24999,9.40596151101476
25249,7.049309740924724
25499,3.0958702156824063
25749,4.351397364380954
25999,3.211589620170089
26249,3.4529266694483804
26499,4.329842893085913
26749,2.5304410977445273
26999,4.679040299679256
27249,5.507748320669486
27499,5.548412798889612
27749,3.905466841186675
27999,3.5863877249749114
28249,3.0195089411645606
28499,3.278828942745513
28749,8.668096211641997
28999,7.553021365061069
29249,8.60291591659486
29499,9.474715102626273
29749,10.208489251155012
29999,8.838768286829097
30249,7.524171344296811
30499,12.395701308581488
30749,6.446885859692629
30999,7.474872335085834
31249,8.502095159653136
31499,7.7089838058530615
31749,8.053648793678196
31999,11.651132890442259
32249,8.220926349065165
32499,12.622505292458197
32749,18.454057260750744
32999,13.032007813637424
33249,11.864379973756291
33499,13.133778517475925
33749,10.992000678018197
33999,10.442723244925673
34249,14.487116995957509
34499,10.951946869859375
34749,14.311889830375414
34999,8.2024609895542
35249,8.704741910667554
35499,6.851272639710551
35749,9.524060311609777
35999,8.16977080955475
36249,6.412102772429443
36499,6.523006891750437
36749,7.276343468573232
36999,9.6757244936715
37249,8.44930380107212
37499,9.343649127257533
37749,8.246334198446256
37999,10.619749457425453
38249,9.66215639027585
38499,7.194053702137017
38749,6.522020903821563
38999,5.65508587394268
39249,5.353486826109778
39499,5.511128480786256
39749,7.787477355745966
39999,8.226929516441064
40249,5.47599763463476
40499,11.94732141690345
40749,9.649269075732999
40999,9.081464781291972
41249,8.426129829404772
41499,10.113969154195093
41749,10.1606564552106
41999,9.568537339837734
42249,11.203878445546568
42499,8.601843714897809
42749,8.599670900046405
42999,7.511169356167835
43249,9.324431363440166
43499,8.023272371938347
43749,7.994194202434863
43999,9.788597209863193
44249,8.15665522907874
44499,9.524807437523535
44749,7.834166072620126
44999,4.903702885543883
45249,4.9671614531532775
45499,6.414102015715367
45749,6.756043771095314
45999,7.707959758254803
46249,5.611006985734177
46499,1.7990629931021505
46749,3.2530845384369766
46999,4.547932433441923
47249,5.03242983494205
47499,6.438639194071281
47749,11.87009655418432
47999,12.380460579500983
48249,9.716429869755425
48499,7.782846903600607
48749,7.30228991607364
48999,8.554390356463358
49249,10.489927224051621
49499,10.760855029098913
49749,8.349997913411743
49999,8.040923863069061
50249,7.766117144905469
50499,7.72915880406782
50749,6.593746035618625
50999,4.316739331380945
51249,2.0185057425608153
51499,2.302291532750552
51749,4.712819736894351
51999,5.148014711869081
52249,6.699997341360318
52499,5.354487117331193
52749,9.477947232031983
52999,7.559558594087045
53249,9.83441861848693
53499,10.338883700895291
53749,4.64133258262295
53999,6.50013944009058
54249,4.679345250140937
54499,6.6073374506107045
54749,7.3226841343193625
54999,6.675004261317792
55249,6.925145454701158
55499,6.885910395876705
55749,4.419752714330644
55999,8.955841103986062
56249,8.19004883510709
56499,4.737219413462343
56749,5.7427221969250635
56999,6.141815141235153
57249,5.462593458157214
57499,5.357040065634094
57749,7.497236485843646
57999,7.612483903986352
58249,15.727810008757977
58499,9.210716717002171
58749,9.917371037665438
58999,9.210477476632358
59249,13.069980229560885
59499,10.626651314927441
59749,9.905268449866718
59999,12.01263776259572
60249,13.401533957253308
60499,14.043070187932654
60749,17.99842586843092
60999,17.52388032860969
61249,16.955782652996096
61499,23.44352503292766
61749,20.748093800796017
61999,11.491638044619298
62249,9.912296999946669
62499,9.336684903470967
62749,8.189359448024069
62999,5.922576602706472
63249,10.462527633514517
63499,10.544566356297661
63749,6.529335949008076
63999,7.260221938934959
64249,6.684545904774855
64499,7.096168473543588
64749,8.200854398799112
64999,11.793709401654452
65249,11.651367007625769
65499,12.211978369630646
65749,14.32932976603524
65999,9.113473273351802
66249,10.416392207076163
66499,16.742407441993503
66749,17.679518469365348
66999,11.16992586722422
67249,11.065521400909748
67499,12.320369326024089
67749,11.909377026560028
67999,10.771812345371412
68249,7.304062870832806
68499,8.066446888727759
68749,6.697309671517898
