,Feb_Maha
1999,15.99976280624784
2249,21.57367817297932
2499,7.667826847901721
2749,5.544560235487667
2999,5.428023700694287
3249,5.367071702301731
3499,4.990779818257476
3749,4.9704218831215226
3999,5.054886215750844
4249,7.597364403198802
4499,8.134274122076198
4749,7.582182475547623
4999,7.45662582523146
5249,7.040899826189056
5499,5.978132946848672
5749,6.051150068089121
5999,17.963605066668904
6249,18.734002516252964
6499,17.133635789473644
6749,13.156032445317923
6999,10.41976037926359
7249,9.354629268552818
7499,10.20735151136687
7749,9.124355495713361
7999,4.764308887422412
8249,4.594318479674427
8499,4.285022209014824
8749,4.646464151803937
8999,5.697578398645274
9249,5.043533286259677
9499,4.83884055124564
9749,5.226007099692323
9999,21.90854599416101
10249,20.173845045496826
10499,18.414709384034072
10749,20.444707387777633
10999,18.99422654883081
11249,27.659580638413587
11499,19.992099212347455
11749,19.265337736120305
11999,5.6752568972249655
12249,3.9648515398240693
12499,3.4488576978158596
12749,3.200648772363155
12999,2.653869440823712
13249,2.287297216180352
13499,2.3634398839471795
13749,2.0878180262344825
13999,1.9055158090548505
14249,2.590454674594089
14499,4.065993493605069
14749,2.155022551972306
14999,1.9559153547217163
15249,2.0901230153522254
15499,3.33006723013721
15749,2.213924235046265
15999,2.6156688465174924
16249,3.711644617571659
16499,7.201403038195929
16749,9.79897064751876
16999,10.945538622044333
17249,12.600112521215161
17499,8.571178614976917
17749,7.96247863773433
17999,8.020601897825975
18249,7.601497643825666
18499,4.768912120374712
18749,4.833726305863344
18999,4.799623263861373
19249,6.0239681788886426
19499,5.56811104705227
19749,5.415535303780824
19999,5.312934670604724
20249,5.070610499490565
20499,5.023798566348527
20749,5.051942751018062
20999,8.161773467278692
21249,8.41891708608063
21499,8.124108426539614
21749,7.674233540777726
21999,22.108093131751946
22249,14.359040938412381
22499,12.191943199188492
22749,12.325463994554019
22999,10.09852743317384
23249,8.260238474012526
23499,7.283513975011847
23749,7.074108474354691
23999,3.0809791819855907
24249,3.086103623128002
